GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,MIN_TOT,PTS_RATE,FGM_RATE,FGA_RATE,3P Made_RATE,3PA_RATE,FTM_RATE,FTA_RATE,OREB_RATE,DREB_RATE,REB_RATE,AST_RATE,STL_RATE,BLK_RATE,TOV_RATE,MIN_CAT_MIN<10,MIN_CAT_MIN<20,MIN_CAT_MIN<30,MIN_CAT_MIN>30,GP_CAT_GP<28,GP_CAT_GP<56,GP_CAT_GP≥56
38,9.6,1.8,0.7,2.3,29.1,0.1,0.3,30.0,0.4,0.7,64.0,0.2,0.8,1.0,1.1,0.3,0.1,0.5,364.8,0.1875,0.07291666666666666,0.23958333333333331,0.010416666666666668,0.03125,0.04166666666666667,0.07291666666666666,0.020833333333333336,0.08333333333333334,0.10416666666666666,0.11458333333333334,0.03125,0.010416666666666668,0.05208333333333333,True,False,False,False,False,True,False
22,10.6,2.5,0.8,3.0,27.7,0.5,1.9,26.2,0.3,0.4,87.5,0.0,1.6,1.6,0.5,0.3,0.1,0.4,233.2,0.2358490566037736,0.07547169811320756,0.2830188679245283,0.04716981132075472,0.1792452830188679,0.02830188679245283,0.03773584905660378,0.0,0.15094339622641512,0.15094339622641512,0.04716981132075472,0.02830188679245283,0.009433962264150945,0.03773584905660378,False,True,False,False,True,False,False
52,21.0,9.5,3.7,7.5,49.0,0.0,0.1,14.3,2.1,3.1,67.9,1.5,3.0,4.5,1.2,0.4,0.3,1.2,1092.0,0.4523809523809524,0.1761904761904762,0.35714285714285715,0.0,0.004761904761904762,0.1,0.14761904761904762,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.05714285714285714,0.01904761904761905,0.014285714285714285,0.05714285714285714,False,False,True,False,False,True,False
39,6.8,2.2,0.9,2.1,42.0,0.2,0.6,24.0,0.3,0.6,48.0,0.8,1.0,1.7,0.5,0.4,0.3,0.3,265.2,0.32352941176470595,0.1323529411764706,0.3088235294117647,0.029411764705882356,0.08823529411764705,0.044117647058823525,0.08823529411764705,0.11764705882352942,0.14705882352941177,0.25,0.07352941176470588,0.05882352941176471,0.044117647058823525,0.044117647058823525,True,False,False,False,False,True,False
78,18.7,7.1,2.8,6.1,45.3,0.3,0.9,35.1,1.3,1.7,75.4,0.5,1.4,1.9,3.1,1.0,0.1,1.4,1458.6,0.37967914438502676,0.1497326203208556,0.3262032085561497,0.016042780748663103,0.04812834224598931,0.06951871657754012,0.09090909090909091,0.026737967914438505,0.0748663101604278,0.10160427807486631,0.16577540106951874,0.05347593582887701,0.005347593582887701,0.0748663101604278,False,True,False,False,False,False,True
23,16.0,4.2,1.7,3.6,47.6,0.0,0.0,0.0,0.8,1.3,60.0,1.3,2.2,3.5,0.7,0.6,0.1,0.8,368.0,0.2625,0.10625,0.225,0.0,0.0,0.05,0.08125,0.08125,0.1375,0.21875,0.04375,0.0375,0.00625,0.05,False,True,False,False,True,False,False
42,14.9,4.1,1.7,5.1,32.9,0.1,0.7,16.7,0.6,0.8,75.0,0.2,1.0,1.2,1.6,0.5,0.2,1.1,625.8000000000001,0.27516778523489926,0.1140939597315436,0.3422818791946308,0.006711409395973154,0.046979865771812075,0.040268456375838924,0.053691275167785234,0.013422818791946308,0.06711409395973153,0.08053691275167785,0.10738255033557047,0.033557046979865765,0.013422818791946308,0.07382550335570469,False,True,False,False,False,True,False
24,10.6,4.1,1.3,4.1,30.3,0.6,1.7,36.6,1.0,1.5,66.7,0.1,0.5,0.7,1.5,0.7,0.1,1.3,254.39999999999998,0.3867924528301887,0.12264150943396229,0.3867924528301887,0.05660377358490566,0.16037735849056603,0.09433962264150944,0.14150943396226418,0.009433962264150945,0.04716981132075472,0.0660377358490566,0.14150943396226418,0.0660377358490566,0.009433962264150945,0.12264150943396229,False,True,False,False,True,False,False
62,14.0,4.5,1.8,4.1,43.1,0.1,0.5,14.7,0.9,1.2,70.1,0.7,1.1,1.8,1.4,0.3,0.2,1.0,868.0,0.32142857142857145,0.1285714285714286,0.29285714285714287,0.007142857142857143,0.03571428571428571,0.0642857142857143,0.0857142857142857,0.049999999999999996,0.07857142857142857,0.1285714285714286,0.09999999999999999,0.021428571428571425,0.014285714285714285,0.07142857142857142,False,True,False,False,False,False,True
38,7.1,3.2,1.3,3.5,37.3,0.1,0.8,13.3,0.5,0.7,69.2,0.1,0.4,0.5,1.2,0.2,0.0,0.7,269.8,0.4507042253521127,0.18309859154929575,0.4929577464788732,0.014084507042253521,0.11267605633802817,0.07042253521126761,0.09859154929577464,0.014084507042253521,0.056338028169014086,0.07042253521126761,0.16901408450704225,0.028169014084507043,0.0,0.09859154929577464,True,False,False,False,False,True,False
37,14.6,4.4,1.7,4.0,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,540.1999999999999,0.30136986301369867,0.11643835616438357,0.27397260273972607,0.03424657534246576,0.10958904109589043,0.027397260273972608,0.04794520547945206,0.08904109589041097,0.17808219178082194,0.2671232876712329,0.020547945205479454,0.04109589041095891,0.03424657534246576,0.03424657534246576,False,True,False,False,False,True,False
41,15.2,4.1,1.9,4.1,47.3,0.0,0.0,0.0,0.3,0.3,78.6,1.1,3.0,4.2,0.8,0.3,0.4,0.5,623.1999999999999,0.26973684210526316,0.125,0.26973684210526316,0.0,0.0,0.019736842105263157,0.019736842105263157,0.0723684210526316,0.1973684210526316,0.2763157894736843,0.05263157894736843,0.019736842105263157,0.026315789473684216,0.03289473684210527,False,True,False,False,False,True,False
82,36.5,21.0,7.6,17.9,42.6,0.8,2.6,32.2,5.0,6.4,77.7,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2993.0,0.5753424657534246,0.20821917808219176,0.4904109589041096,0.021917808219178086,0.07123287671232877,0.136986301369863,0.1753424657534247,0.06027397260273973,0.10410958904109588,0.16712328767123288,0.07671232876712329,0.03287671232876712,0.0136986301369863,0.0821917808219178,False,False,False,True,False,False,True
70,36.2,23.7,9.8,18.7,52.3,0.0,0.0,0.0,4.2,5.9,70.9,4.3,6.3,10.6,2.5,1.8,0.9,2.9,2534.0,0.6546961325966851,0.27071823204419887,0.5165745856353591,0.0,0.0,0.11602209944751381,0.16298342541436464,0.11878453038674033,0.17403314917127072,0.292817679558011,0.06906077348066299,0.049723756906077346,0.024861878453038673,0.08011049723756906,False,False,False,True,False,False,True
49,13.0,3.9,1.6,3.6,43.5,0.0,0.0,0.0,0.8,1.3,59.4,0.8,0.9,1.6,0.8,0.4,0.0,0.5,637.0,0.3,0.12307692307692308,0.27692307692307694,0.0,0.0,0.06153846153846154,0.1,0.06153846153846154,0.06923076923076923,0.12307692307692308,0.06153846153846154,0.03076923076923077,0.0,0.038461538461538464,False,True,False,False,False,True,False
